Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,39.7454,18211551167,526239911,3715217
2,41.8185,17644329201,607627251,3821866
3,40.6454,17833978723,704301236,5489441
4,41.0149,18205914530,923043950,3887633
5,42.0941,17894929573,684626453,3967875
6,40.452,17528395726,730306147,3941155
7,40.0173,17870621583,672923298,3930359
8,40.2632,17742420830,654762855,3955577
9,41.3766,18233831184,600279066,5266193
10,40.3014,18017339042,510789155,3898647

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
8192, 40.772880, 17918331155, 661489932, 4187396
