Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,71.4075,17558745974,16815472190,3131491720
2,84.1338,17538048923,16347626773,3143392190
3,81.4647,17533510789,16265165870,3118796196
4,81.9941,17536093961,16320237269,5167853963
5,78.8156,17537898437,16436180140,2841092505
6,82.6269,17532718831,16300076225,2509991135
7,78.1163,17537603831,16412099924,2799261980
8,82.4596,17535885727,16310249812,2789646405
9,82.8935,17533727398,16309355473,3130785311
10,78.3755,17537789329,16462980342,2635039844

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
8192, 80.228750, 17538202320, 16397944401, 3126735124
