Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,17.3083,7770106346,355276434,1895961
2,17.346,8192368895,265063062,1909018
3,17.4129,8062860599,387545624,1963565
4,17.3096,8027659997,254225002,1929127
5,17.491,7885218428,211952591,1960727
6,17.5807,8375691714,359352637,1902931
7,17.3225,7968719306,272466781,2201905
8,17.588,7919950901,230344490,1897356
9,17.438,7871414642,418316385,2237804
10,17.9064,7845449978,378383005,1952920

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
6144, 17.470340, 7991944080, 313292601, 1985131
