Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,9.78168,2192273483,1982638012,430676165
2,7.65196,2197012156,2106297438,190953165
3,7.93738,2200405544,2140084487,289227818
4,8.26773,2198820980,2114076003,285643429
5,8.24523,2199156254,2123243059,246026509
6,7.90737,2199757888,2133913596,173716878
7,7.96998,2199990256,2123789039,342364083
8,7.91477,2200233196,2138324076,277316876
9,7.89919,2199993600,2125206182,247350687
10,8.47864,2198541936,2103793381,417193135

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
4096, 8.205393, 2198618529, 2109136527, 290046874
