Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,177.011,34236173116,30962879558,7804066463
2,174.854,34256979892,31383718181,7051343929
3,176.947,34239467840,30965583257,9473162277
4,168.539,34256035860,31370028434,7888153733
5,182.037,34234315065,30881484445,7598092291
6,190.345,34223204351,30454407110,8361674193
7,191.476,34213173383,30266585481,11389944624
8,177.991,34239081185,30975097990,7396219662
9,150.717,34294553867,32249973504,6561461630
10,173.65,34241232669,31141744365,6898078890

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
10240, 176.356700, 34243421722, 31065150232, 8042219769
