Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,5.22572,2327679314,169444021,1719358
2,5.56815,2320830483,166360306,1830410
3,6.31892,2250026809,162967374,1867643
4,5.66785,2521171421,176516012,824978
5,5.73076,2308025181,162978904,823612
6,5.52741,2377671479,128108269,821002
7,5.66561,2455900598,169275239,823642
8,5.71907,2503572333,129863270,839940
9,5.75399,2223823716,127690298,860484
10,5.67341,2434291394,188566369,852679

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
4096, 5.685089, 2372299272, 158177006, 1126374
