Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,75.5416,35055623139,2574346018,6317265
2,77.9003,34965682266,2367976470,6311069
3,75.5278,35206354114,2810530456,7599943
4,75.5978,33997670931,3717739304,6339459
5,77.3373,35180580977,2474813355,9956183
6,78.5211,36229953779,5290110308,13810442
7,77.7245,37075665123,2359906329,15171462
8,81.2351,35978651454,2569293827,19218733
9,75.6577,34813201053,2446650391,7048358
10,78.7634,35750194237,2085578748,6399508

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
10240, 77.380660, 35425357707, 2869694520, 9817242
