Run,Time (s),L1 DCM,L2 DCM
1,0.099785,27113187,56768762
2,0.096271,27111525,57735013
3,0.09464,27112139,56432308
4,0.092929,27111608,57454998
5,0.092411,27111963,57435924
6,0.094264,27112899,56665366
7,0.093866,27112042,56694897
8,0.093539,27111226,57471929
9,0.09453,27112082,57170329
10,0.093347,27111369,57335127

AVG Matrix, Time(s), L1 DCM, L2 DCM
600, 0.094558, 27112004, 57116465
