Run,Time (s),L1 DCM,L2 DCM
1,339.205,140184449852,130504063780
2,332.938,140147961457,127720869240
3,331.955,140185455053,130493855677
4,333.553,140293435360,131212260080
5,331.454,140270146965,128856067545
6,337.04,140052610759,126389299118
7,333.116,140266763069,130408746475
8,333.507,140298006848,131264527548
9,336.689,140285988155,130465655367
10,331.892,140269048161,130395658800
