Run,Time (s),L1 DCM,L2 DCM
1,631.875,273474752317,243532505776
2,644.391,273851177845,251081468396
3,641.166,273917605658,253357071317
4,640.932,273497603221,243715364781
5,642.994,273698406377,251521414908
6,631.129,273589624328,244537618848
7,644.997,273665336783,251162341650
8,648.091,273508098322,245557667831
9,646.66,273922936743,253315816530
10,642.657,273614676316,247388452041
