Run,Time (s),L1 DCM,L2 DCM
1,1.59071,346143686,693322972
2,1.66635,346152671,669966463
3,1.664,346144747,689759107
4,1.46358,346146193,694565161
5,1.49065,346139907,707923272
6,1.47732,346148156,692077005
7,1.45755,346153368,710208378
8,1.4865,346153329,691813840
9,1.47246,346144637,697294393
10,1.47396,346139698,695064077

AVG Matrix, Time(s), L1 DCM, L2 DCM
1400, 1.524308, 346146639, 694199466
