Run,Time (s),L1 DCM,L2 DCM
1,138.484,59139463592,52561560490
2,138.677,59163774376,53190820897
3,138.568,59182328243,54065530397
4,139.913,59143664761,52821951914
5,139.302,59167585672,53252183422
6,140.648,59235700449,54904674481
7,138.877,59225873332,54062321666
8,140.801,59177723705,53234363380
9,141.097,59243636175,54549840150
10,142.543,59182620129,53395508481

AVG Matrix, Time(s), L1 DCM, L2 DCM
6144, 139.891000, 59186237043, 53603875527
