Run,Size,Block Size,Time(s),L1 DCM,L2 DCM
1,10240,128,578.05,150447522170,496050628056
2,10240,128,572.86,152467343709,505811212518
3,10240,128,571.482,152473919464,497140788448
4,10240,128,579.058,152449411530,504447198054
5,10240,128,571.397,152422932646,504638590765
6,10240,128,581.562,152481290336,496675622808
7,10240,128,565.922,152426252694,502054573232
8,10240,128,582.553,152502212451,504021161968
9,10240,128,569.341,152412429440,497978801464
10,10240,128,567.788,152412166785,498101535251

Size,Block Size,Avg Time,Avg L1 DCM,Avg L2 DCM
10240,128,574.0013,152249500000.0,500692000000.0

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM
1,10240,256,471.042,141913896389,347339919351
2,10240,256,487.551,141494528656,349985300284
3,10240,256,487.322,141893034482,348732614429
4,10240,256,494.043,141494876354,351160489437
5,10240,256,482.192,141903334710,346611869279
6,10240,256,487.593,141757780320,346350625185
7,10240,256,464.77,141827342756,355999406401
8,10240,256,462.195,141769429683,360011858617
9,10240,256,459.624,141785677455,351243983479
10,10240,256,462.256,141569967935,354006827145

Size,Block Size,Avg Time,Avg L1 DCM,Avg L2 DCM
10240,256,475.8588,141741000000.0,351144300000.0

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM
1,10240,512,206.813,139674336937,301455213931
2,10240,512,226.577,139413162120,314654491208
3,10240,512,205.797,139669511365,301088593135
4,10240,512,228.226,139370351345,315832631710
5,10240,512,203.574,139711896003,300689820348
6,10240,512,445.638,137100560343,311663190022
7,10240,512,441.551,137114893433,307619165615
8,10240,512,432.628,136962108645,305623557470
9,10240,512,432.306,136868460948,303608352246
10,10240,512,434.209,136920869412,306115726394

Size,Block Size,Avg Time,Avg L1 DCM,Avg L2 DCM
10240,512,325.7319,138280600000.0,306835100000.0

