Run,Block Size,Time (s),L1 DCM,L2 DCM
1,128,58.7288,33726470938,100537150462
2,128,62.3598,33743053468,102211384803
3,128,65.3277,33781618097,103646700856
4,128,59.1493,33761688246,100417758682
5,128,64.9007,33787818120,103612564800
6,128,57.934,33707865385,100898739693
7,128,60.4662,33717117942,101385555794
8,128,61.6599,33738016718,102308445104
9,128,58.45,33723694955,101291041339
10,128,61.5772,33705316020,101916177802

AVG Matrix, Block Size, Time(s), L1 DCM, L2 DCM
6144, 128, 61.05536, 33739270000.0, 101822600000.0

1,256,49.6119,31491466153,72061060339
2,256,49.4231,31486171874,72230371230
3,256,50.9684,31444768675,73747867988
4,256,51.5204,31444431212,73939939609
5,256,54.2123,31446410390,75177521637
6,256,50.3369,31496568379,71906383767
7,256,52.1015,31458778260,73843063678
8,256,51.5368,31449325230,73728944082
9,256,51.5761,31443782490,73890716384
10,256,49.2989,31494895295,71939499692

AVG Matrix, Block Size, Time(s), L1 DCM, L2 DCM
6144, 256, 51.05863, 31465660000.0, 73246540000.0

1,512,48.146,30162694454,67896004469
2,512,46.1129,30170859957,67024362842
3,512,48.5209,30164985079,68017209066
4,512,44.0105,30202623259,65619376262
5,512,48.0785,30161997336,67788802898
6,512,47.3345,30178451270,67353332093
7,512,48.0101,30163132338,67841591475
8,512,46.023,30168413449,66998999452
9,512,48.4669,30171630459,67844094514
10,512,46.9488,30175524439,67018102398

AVG Matrix, Block Size, Time(s), L1 DCM, L2 DCM
6144, 512, 47.16521, 30172030000.0, 67340190000.0
