Run,Time (s)
1,471.09567189216614
2,474.1432297229767
3,480.31133913993835
4,477.5938754081726
5,467.08329939842224
6,480.47331166267395
7,474.25962948799133
8,474.62110233306885
9,470.7716085910797
10,487.9641709327698
