Run,Time (s)
1,150.0851571559906
2,158.06731057167053
3,149.57136726379395
4,149.07291531562805
5,153.41508173942566
6,151.77255392074585
7,153.7788941860199
8,150.28400421142578
9,152.40013074874878
10,148.43090534210205
