Run,Time (s)
1,17.725525379180908
2,16.567485570907593
3,16.499122858047485
4,16.079042673110962
5,16.420381546020508
6,16.789467573165894
7,16.717750310897827
8,17.198047637939453
9,16.982930898666382
10,16.705242156982422
