Run,Time (s)
1,220.1108043193817
2,222.03060388565063
3,222.86705446243286
4,226.53346633911133
5,223.91028928756714
6,223.88720560073853
7,230.77033138275146
8,235.97663187980652
9,220.7881896495819
10,225.0857970714569
