Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,0.55735,43868685,510884,45073
2,0.600669,39944708,527503,49552
3,0.562411,42873056,1269220,69321
4,0.587636,48215586,745976,46937
5,0.567438,49788225,682619,45405
6,0.595906,47179708,673565,47797
7,0.564494,42289887,1141041,59660
8,0.583272,43754997,2020209,70549
9,0.589815,39172530,4718742,55534
10,0.581112,50690999,1884541,69717
