Run,Block Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,128,35.5591,9509067202,32946788896,3525128136
1,256,30.959,9025343604,23644100950,1961269592
1,512,37.7121,8800203186,18928520020,5289719814
