Run,Block Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,128,283.301,73962290180,254262297379,40215568231
1,256,431.734,71981130438,168912963676,109886304017
1,512,357.404,70716051400,144730641801,91855122334
