Run,Block Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,128,7.12712,2554633735,1089827625,86273506
1,256,7.09553,2394270210,6328450124,47198911
1,512,6.81287,2313439307,5460788266,31277554
