Run,Block Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,128,119.919,32480072951,110627856077,12213019331
1,256,104.377,30564776298,77640079331,7699476983
1,512,95.2905,29642613175,66591581620,3209217939
