Run,Block Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,128,10.9011,3893480592,1471643287,150417095
1,256,10.8789,3655265544,10074494623,68127684
1,512,10.4683,3530724695,8240171427,41950879
