Run,Block Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,128,4.42284,1522584018,1347497398,39055126
1,256,4.37206,1448373165,3883975730,27328010
1,512,4.13327,1400818650,3413893071,18759657
