Run,Time (s),L1 DCM,L2 DCM
1,0.107675,32032795,954746
2,0.096496,32024396,930701
3,0.098375,32034045,953673
4,0.097473,32004028,934873
5,0.097768,32016191,922082
6,0.104342,31371067,941216
7,0.098597,32025174,967701
8,0.097701,32017362,940327
9,0.108228,31385089,977234
10,0.111865,32034815,951571
11,0.098708,31999327,934715
12,0.099541,32024456,953784
13,0.107188,31438921,1024172
14,0.110402,32019573,955559
15,0.099852,32019569,913056
16,0.102477,32029716,964016
17,0.111062,32035573,973295
18,0.099909,32010085,955353
19,0.100572,32025206,944247
20,0.100787,32012604,958192
