Run,Time (s),L1 DCM,L2 DCM
1,0.447574,147553313,4215476
2,0.466323,147572537,4330734
3,0.47299,144439783,4306483
4,0.442425,147590632,4161812
5,0.461422,147481046,4266335
6,0.471823,147542429,4079260
7,0.455575,147545482,4178669
8,0.445075,147515713,4214013
9,0.497683,147585669,4455346
10,0.44615,147609133,4069688
11,0.44542,147546157,4131370
12,0.488119,144603917,4392407
13,0.543986,147519915,4679255
14,0.561001,147564163,4330831
15,0.44627,147524243,4237086
16,0.528781,147492631,4365409
17,0.514474,147604772,4146025
18,0.497295,147512053,4220031
19,0.456504,147485864,4188428
20,0.459244,147487930,4023392
