1,14.4362,3562914759,4291839412
2,14.6847,3562515252,4269574258
3,15.9314,3531505505,4261651159
4,14.7915,3562406958,4272307945
5,14.9244,3563802872,4265736731
6,15.0135,3563432278,4249922454
7,16.7837,3535329101,4256698119
8,14.4473,3562650360,4258219050
9,14.7839,3563594904,4274029577
10,14.6223,3562815567,4277380944
11,15.5823,3563857362,4268264184
12,10.5924,3562632396,4271048102
13,10.9329,3562526152,4269947104
14,10.8267,3563088867,4275741029
15,10.8327,3562318201,4269414487
16,10.5498,3562341361,4273139040
17,11.0681,3562387874,4267631673
18,11.3238,3562652826,4273226970
19,11.9993,3563005491,4274018253
20,11.2203,3562941128,4279528190
