Run,Time (s),L1 DCM,L2 DCM
1,9.86387,2334378386,2712018277
2,9.97504,2333253897,2712272620
3,10.8169,2333376521,2713752611
4,9.72525,2333255890,2719331941
5,9.6791,2333583694,2711693863
6,10.2204,2333858682,2701348845
7,10.0941,2334335525,2703575766
8,9.46682,2333213514,2717165082
9,9.66593,2332558829,2717519652
10,9.59214,2332894684,2713223829
11,10.3786,2333392422,2702940124
12,9.47485,2332829600,2720133650
13,9.47252,2333012411,2716440003
14,9.44423,2333053578,2726714679
15,9.57759,2332782386,2716002414
16,9.88867,2333111417,2710823395
17,9.49757,2332434093,2714223489
18,9.62467,2333025108,2701912885
19,9.98417,2334343891,2709917013
20,9.39809,2332429356,2720272554
