Run,Time (s),L1 DCM,L2 DCM
1,0.087305,27159255,27137727
2,0.087382,27157951,27134003
3,0.088083,27158672,27137759
4,0.088399,27158311,27136547
5,0.089127,27159147,27129617
6,0.088596,27157506,27135571
7,0.089956,27158264,27143756
8,0.088464,27157800,27134262
9,0.088761,27158240,27138255
10,0.088728,27159163,27135553
11,0.089498,27159827,27136172
12,0.089189,27165063,27141347
13,0.095838,27164839,27138435
14,0.086428,27157870,27135479
15,0.088876,27157841,27136409
16,0.089015,27158381,27137887
17,0.091951,27150888,27136265
18,0.089392,27159507,27138979
19,0.086572,27158716,27134176
20,0.088252,27159588,27137703
