Run,Time (s),L1 DCM,L2 DCM
1,1.27493,403594109,11076689
2,1.37093,403763277,11188039
3,1.33365,403809209,11835669
4,1.25977,403697705,11069388
5,1.3968,403822200,11227095
6,1.48093,395980428,11383949
7,1.2965,403597392,11226732
8,1.24394,403576077,11419338
9,1.25618,403629663,10826914
10,1.2622,403677208,10979526
11,1.37786,396145170,11592693
12,1.40095,396197668,12063444
13,1.2529,403752465,10381586
14,1.25457,403634495,11173172
15,1.2168,403718136,11146994
16,1.33327,403627262,11029509
17,1.22402,403785723,10998956
18,1.62823,404002410,12378716
19,1.29763,403621878,11700388
20,1.2931,403691307,11608973
