Run,Time (s),L1 DCM,L2 DCM
1,0.456052,125678990,125687439
2,0.447933,125726775,125712443
3,0.467253,125709506,125703921
4,0.467788,125717256,125710321
5,0.466329,125758451,125739849
6,0.47371,125724625,125682121
7,0.466716,125751392,125726983
8,0.48218,125660592,125665819
9,0.468456,125767400,125730747
10,0.480882,125722279,125699777
11,0.495915,125700598,125690514
12,0.474804,125661144,125659358
13,0.556191,125865735,125638382
14,0.522697,125710812,125666731
15,0.47951,125706459,125722407
16,0.494337,125748767,125744127
17,0.483622,125737438,125732434
18,0.479259,125663825,125659977
19,0.483261,125732844,125736924
20,0.479025,125723028,125731784
