Run,Time (s),L1 DCM,L2 DCM
1,9.71046,2414476955,52591289
2,10.4501,2385795009,50503234
3,9.67356,2414163202,57094632
4,10.793,2387337092,53055793
5,9.31394,2413820627,51843701
6,9.77865,2414508060,56588258
7,9.52687,2413991950,60650184
8,9.1771,2413343659,50371048
9,10.0165,2413988419,51861505
10,9.02477,2413365090,67450060
11,9.00357,2413060701,53535426
12,9.01183,2413363150,49754554
13,9.23363,2413354539,49395736
14,9.0986,2413212070,49431517
15,9.76783,2413624755,51043295
16,10.3687,2385372583,65990471
17,9.21758,2413889175,73028511
18,9.08202,2413504631,65308577
19,9.87649,2414498891,79475640
20,9.11175,2413242860,66109521
