Run,Time (s),L1 DCM,L2 DCM
1,2.36922,794264367,16598821
2,2.35499,794133290,18097218
3,2.35011,794338565,16844035
4,2.61926,775083532,16125790
5,2.61981,794672791,18832639
6,2.65209,795946766,19683440
7,2.55558,774588447,16802072
8,2.31227,794042964,16439637
9,3.00432,776916063,18787473
10,2.80586,795456580,19262564
11,2.76494,776037371,18377315
12,2.53262,794914884,17418307
13,2.55537,795134745,19084780
14,2.70375,775295194,16668951
15,2.47648,794295876,17204590
16,2.31842,794153501,17072473
17,2.41855,794033352,17446332
18,2.5041,794201813,18176054
19,2.51459,794383631,18398131
20,2.72783,775404778,18496689
