Run,Time (s),L1 DCM,L2 DCM
1,4.1357,1461213676,29561879
2,4.4371,1461578760,29388288
3,4.37009,1461514654,28675765
4,4.2771,1461616030,28898213
5,4.58103,1461656483,28124593
6,4.57527,1461564293,29564643
7,4.45585,1461596519,30012139
8,3.99657,1461711046,28075134
9,4.13601,1461514999,28706071
10,3.9702,1461454250,27546632
11,4.30928,1461601903,29735886
12,4.87589,1442543294,29017955
13,4.35783,1461613924,29297834
14,4.50096,1461508676,31049565
15,4.29151,1461530242,29602656
16,4.44015,1461602081,30030252
17,4.7835,1442362527,29515749
18,4.3734,1461398947,30028282
19,4.3858,1461365589,30204085
20,4.53749,1461497859,33836916
