Run,Time (s),L1 DCM,L2 DCM
1,0.091558,29179512,23161338
2,0.091071,29175207,23254150
3,0.090448,29168221,23078927
4,0.091873,29173918,23276915
5,0.089894,29169833,23272774
6,0.090119,29176212,23253188
7,0.091972,29200220,23270321
8,0.092296,29168758,23246331
9,0.094834,29174523,23030306
10,0.095371,29184621,23254030
11,0.092776,29173042,23244550
12,0.093637,29179381,23043091
13,0.102989,29182316,23153536
14,0.106182,28882766,23226643
15,0.094158,29175281,23112764
16,0.105426,28880526,23276307
17,0.093015,29179068,23262082
18,0.092644,29173084,23262099
19,0.090971,29177052,23265354
20,0.102535,28848057,23219179
