Run,Time (s),L1 DCM,L2 DCM
1,4.13342,3172692648,361876217
2,3.73306,3167355174,360978414
3,3.97058,3166440603,361333308
4,3.76368,3147080851,361091189
5,4.05406,3159923033,361492265
6,4.33425,3167795202,361427883
7,4.08274,3172023114,360832054
8,4.39559,3158499101,361835571
9,4.00182,3156981223,360890651
10,3.99631,3152696544,361666180
11,4.1794,3150973548,361298962
12,3.85114,3173563754,361078098
13,4.0855,3174142336,360902973
14,3.98079,3154656582,360999130
15,4.10567,3172965468,361211168
16,3.94926,3159362283,361038131
17,4.06075,3158043910,361739486
18,4.07535,3158909087,361628812
19,3.97267,3156919949,360852983
20,3.9133,3173594658,361852084
