Run,Time (s),L1 DCM,L2 DCM
1,10.3768,2285654571,2150186602
2,10.5772,2287623437,2155532726
3,11.6155,2308359715,2142808385
4,10.9793,2295995703,2141447521
5,10.9479,2291976809,2141871510
6,10.5338,2283580020,2147630555
7,9.81535,2259228437,2139290883
8,10.3612,2278736356,2137959515
9,10.3192,2279015439,2137611088
10,11.0363,2310254539,2142160275
11,11.4738,2300115965,2155358909
12,10.9263,2284024753,2152795460
13,10.877,2287291846,2151007264
14,10.859,2283072631,2162255330
15,10.7513,2276732230,2148474203
16,11.0707,2292178738,2163902025
17,11.4259,2312496960,2156797057
18,10.6303,2286492664,2138872467
19,10.1185,2280397340,2136894472
20,10.721,2296993108,2142952786
