Run,Time (s),L1 DCM,L2 DCM
1,10.2787,2579622046,70051748
2,10.0742,2578359998,70027812
3,10.5977,2579757606,77156873
4,10.7312,2579604376,77388331
5,10.1749,2578934118,74130916
6,10.3011,2579521404,75724086
7,10.4397,2578203689,77481834
8,10.2761,2577858443,73682388
9,10.0757,2577666190,69543184
10,9.86355,2578736089,69353686
11,10.5471,2579050564,69185279
12,10.0291,2577531764,71307694
13,10.029,2578042370,69643032
14,10.1342,2577477837,69458951
15,10.2829,2577669661,69611755
16,10.0449,2578043602,70509901
17,10.023,2578245649,70307684
18,9.94993,2577753768,69697863
19,10.8462,2578143024,72747965
20,10.4095,2579114371,76387378
