Run,Time (s),L1 DCM,L2 DCM
1,99.8346,47683173394,3483959136
2,93.4104,47535544840,3492449972
3,93.323,47536444279,3490921875
4,93.1056,47493700209,3496851056
5,94.0368,47522665235,3498818446
6,98.4605,47602847493,3494671741
7,96.1051,47677457230,3501618682
8,93.7888,47529998552,3493870986
9,94.8897,47698674552,3488477872
10,98.0846,47510833204,3491560830
11,99.4787,47514251100,3486078816
12,101.925,47544279808,3487316277
13,100.367,47541225404,3488431688
14,102.168,47685934242,3487233976
15,100.211,47668041305,3483220751
16,97.0348,47555735276,3491534345
17,102.359,47544464831,3486413319
18,105.42,47551845721,3486684460
19,104.795,47693944831,3493055147
20,99.8465,47600058628,3485693565
