Run,Time (s),L1 DCM,L2 DCM
1,6.51334,1361211637,1292088328
2,6.50592,1356814161,1300504182
3,6.02617,1352638429,1280236374
4,5.9772,1351921685,1290609928
5,6.03193,1352305771,1292549510
6,5.94692,1351815181,1279110480
7,6.00322,1354149777,1289493471
8,5.9841,1353441389,1279265391
9,6.04936,1353479018,1290121204
10,6.0306,1354321668,1280272713
11,6.43983,1364068045,1287437483
12,6.2526,1359537117,1297836417
13,6.9989,1363240539,1288723382
14,7.04169,1369795324,1290832868
15,6.38357,1364689649,1299220564
16,7.26445,1363104060,1288786462
17,6.68704,1362397971,1288766509
18,6.47179,1371731964,1294282021
19,6.10887,1358258415,1291039032
20,6.09549,1353194427,1281861846
