Run,Time (s),L1 DCM,L2 DCM
1,0.476961,136897192,2971138
2,0.462806,135043285,2705922
3,0.408861,136785819,2634079
4,0.547579,136924230,3145473
5,0.412768,136794785,3260609
6,0.416351,136817139,2881103
7,0.426626,136789039,2616226
8,0.408238,136779185,2625176
9,0.429785,136786475,2809882
10,0.408583,136786157,2906296
11,0.406947,136787309,2705494
12,0.418252,136779127,2752732
13,0.53664,135227150,3161801
14,0.419155,136777062,2764196
15,0.413424,136828119,2710475
16,0.430456,136756477,2591241
17,0.429984,136723810,2669094
18,0.431613,136775521,2710882
19,0.429547,136725695,2613330
20,0.409526,136816288,2557409
