Run,Time (s),L1 DCM,L2 DCM
1,1.48637,1143532020,127808135
2,1.11633,1142623341,127779101
3,1.02121,1167295449,128012644
4,1.01405,1161739992,128195726
5,1.01885,1164915596,128034587
6,1.00751,1166141186,128064121
7,1.00547,1157915543,128156020
8,1.11436,1167503487,128083785
9,1.11966,1148599749,127966195
10,1.16033,1146731605,127734635
11,1.18787,1153864797,128065775
12,1.16694,1143068892,127774473
13,1.07155,1137493648,127639775
14,1.1845,1150714214,127878247
15,1.55269,1145092683,128073573
16,1.90833,1158566518,128221810
17,1.25334,1150241574,128096297
18,1.15938,1150448201,127883604
19,1.18961,1139261027,127509725
20,1.26832,1136322807,127463384
