Run,Time (s),L1 DCM,L2 DCM
1,24.718,15661785432,1358113153
2,24.6691,15633740840,1358977316
3,24.9695,15692625441,1359269953
4,24.6106,15641685712,1358094974
5,24.6554,15633317832,1360270220
6,26.1246,15659227327,1358648184
7,25.6054,15659551003,1360072286
8,25.23,15665306968,1358952448
9,25.3594,15630168359,1359856203
10,24.877,15611914173,1361763721
11,23.726,15606455168,1362061725
12,23.4523,15651622926,1360934936
13,23.5533,15675015997,1360794956
14,24.5648,15689651209,1359724126
15,25.6467,15636272137,1360696815
16,25.4466,15667209243,1357695798
17,26.186,15699279409,1358892279
18,25.2953,15673654012,1358793775
19,26.231,15645250370,1359815824
20,25.9231,15697936062,1358744396
