Run,Time (s),L1 DCM,L2 DCM
1,3.93921,736574047,703562158
2,4.04248,739902669,699036535
3,4.49127,751628615,701819834
4,4.22668,745331067,705787709
5,4.58612,744774584,704006789
6,4.42334,752143823,703506528
7,4.43896,746209668,711141418
8,4.14973,739719933,704037674
9,3.89624,738562915,709051288
10,3.8305,736796769,702437343
11,3.81035,737925744,694156386
12,3.86607,736890977,697250547
13,4.16071,743230586,706172226
14,4.45966,743446422,704488578
15,4.91674,740638145,706551578
16,4.23059,744285170,708446950
17,4.00354,743412485,703165814
18,3.63098,736837933,694100260
19,3.5455,735742028,708637005
20,3.66352,738600227,697453977
