Run,Time (s),L1 DCM,L2 DCM
1,1.28031,362981754,407583824
2,1.3131,362984545,404587491
3,1.16601,362853744,404060884
4,1.22551,362925115,406527207
5,1.37885,363034423,408181200
6,1.2769,363015263,403969103
7,1.3989,359829431,404741284
8,1.2249,362885474,409285502
9,1.26829,362853847,404357583
10,1.26297,363018690,407601034
11,1.21715,362915298,407086391
12,1.27613,362922695,405699262
13,1.37144,362978756,407788866
14,1.32396,362873348,408492556
15,1.19153,362922245,405402984
16,1.16721,362893732,405960046
17,1.46691,359922440,405349015
18,1.23607,362899449,407006713
19,1.21023,362886945,407119539
20,1.19608,362842827,403707025
