Run,Time (s),L1 DCM,L2 DCM
1,0.194238,28578395,27100618
2,0.192139,29159201,26902940
3,0.190637,30146319,26906072
4,0.189798,28172224,27094460
5,0.188883,28145012,26880905
6,0.189398,28361365,26896568
7,0.188911,28265639,26892477
8,0.188206,28247158,26900036
9,0.189268,28218468,26890377
10,0.187825,28304378,26895813
11,0.201646,31117118,27045212
12,0.206184,29005515,27096793
13,0.202298,31634328,27074634
14,0.190789,28490295,26928543
15,0.194415,28361222,27091106
16,0.208417,29657389,27079235
17,0.214701,29674683,26941813
18,0.194975,28207783,27093394
19,0.197382,28734827,27096146
20,0.197093,29188868,27045296
