Run,Time (s),L1 DCM,L2 DCM
1,16.9684,3650253666,3302705759
2,18.0161,3626001117,3300996897
3,17.745,3631476329,3303979066
4,15.9834,3538023719,3311702406
5,17.9829,3616749929,3302666579
6,16.8678,3643811301,3303248358
7,16.3297,3615999477,3323685323
8,17.504,3648875594,3309836826
9,16.4333,3621592326,3299831647
10,16.549,3620365535,3301904167
11,17.539,3635310919,3310191211
12,17.4807,3687701697,3326488414
13,17.555,3653149064,3312685004
14,18.2645,3664476805,3310718318
15,17.1191,3637825439,3311767088
16,16.3579,3630887788,3300156453
17,16.1794,3622122873,3296153236
18,17.1675,3634187538,3320786064
19,17.0396,3634704369,3296838743
20,17.3746,3659214667,3331776428
