Run,Time (s),L1 DCM,L2 DCM
1,4.59519,1545137120,41980024
2,5.10405,1512189898,44135174
3,4.91125,1543936215,43033284
4,4.51631,1543296638,40448933
5,4.99718,1544345684,44024073
6,4.90436,1544121445,42853496
7,4.98817,1544266999,44042028
8,4.49977,1543625968,41466523
9,4.44652,1543650119,41662128
10,4.64016,1509780461,42277974
11,4.79471,1544427322,44419908
12,5.20033,1512304371,43877625
13,4.80559,1543623209,42924594
14,5.05137,1543841179,44728523
15,4.853,1544443663,43019236
16,5.25685,1511351942,42565062
17,5.62112,1545416848,45613577
18,4.6403,1543441536,44797554
19,4.99074,1544081110,44520291
20,5.09037,1512132032,43769529
