Run,Time (s),L1 DCM,L2 DCM
1,0.090854,30099247,679257
2,0.091082,30108541,666101
3,0.091829,30105186,682014
4,0.09061,30101448,678522
5,0.091591,30108739,682822
6,0.090218,30098277,810229
7,0.090733,30102352,679968
8,0.10471,29709490,715427
9,0.105242,29663001,696285
10,0.102988,30112656,685009
11,0.093406,30101630,702250
12,0.092199,30099818,690059
13,0.100705,30114885,729109
14,0.094397,30098763,760304
15,0.104486,29672932,715514
16,0.103116,29669478,766383
17,0.093373,30103132,702726
18,0.095064,30110671,684457
19,0.093218,30113963,695540
20,0.103987,29680756,692864
