Run,Time (s),L1 DCM,L2 DCM
1,59.4487,28732542983,2253135012
2,57.8211,28766971169,2255177534
3,57.2189,28734727521,2253672141
4,54.844,28705122753,2255191000
5,56.1884,28821847409,2251561856
6,54.5298,28718495176,2253293768
7,56.2944,28744952975,2254559889
8,54.3422,28700782456,2255553437
9,58.1428,28831027617,2253019472
10,57.667,28847815363,2251247414
11,58.9333,28865889792,2252799612
12,55.2153,28733368938,2255233938
13,56.8516,28839220499,2252445530
14,55.6822,28736087630,2255558397
15,57.3689,28721056212,2253823587
16,59.156,28725983175,2251872658
17,56.4308,28814195421,2250488632
18,58.1844,28727795274,2256932493
19,56.8975,28736138053,2252708709
20,57.2988,28741210486,2251411232
