Run,Time (s),L1 DCM,L2 DCM
1,1.20969,377651675,8621263
2,1.18535,377536705,7854057
3,1.16811,377459708,8079486
4,1.21377,377500937,20187545
5,1.15383,377560856,7877548
6,1.17316,377579201,7867845
7,1.30838,372880112,7949616
8,1.29524,377693823,8949950
9,1.15553,377515245,8548892
10,1.16482,377590601,8282008
11,1.24338,377704543,8874945
12,1.37606,378002023,10388857
13,1.13575,377498183,7268603
14,1.32938,372927797,8109752
15,1.15233,377564117,8291874
16,1.2468,372459050,8031797
17,1.20466,377594935,7889462
18,1.38454,373057175,9257958
19,1.17023,377641259,7899918
20,1.19307,377584441,8242941
