Run,Time (s),L1 DCM,L2 DCM
1,0.462312,131801799,158046830
2,0.447333,131776677,144423010
3,0.427696,131795644,158211913
4,0.526139,131816100,158140040
5,0.430684,131815151,158291177
6,0.443882,131817125,158109143
7,0.441277,131816962,158841126
8,0.435128,131748291,145579831
9,0.441972,131816082,158473174
10,0.423426,131800290,158533104
11,0.441886,131824489,158306245
12,0.439912,131803717,157949257
13,0.650386,131876649,157717719
14,0.425636,131817539,158691155
15,0.48634,131831445,158467182
16,0.448954,131820403,157971308
17,0.486005,131800398,156588715
18,0.427127,131800743,157909703
19,0.44888,131819893,157921623
20,0.432308,131800435,157856286
