Run,Time (s),L1 DCM,L2 DCM
1,4.44246,1412635992,1477610980
2,5.09562,1412536787,1476435152
3,4.65196,1412369430,1478605935
4,4.31733,1412573376,1474731238
5,4.6399,1412486421,1473514912
6,5.25885,1412977940,1471725077
7,4.34223,1412473581,1477579378
8,4.29415,1412485920,1473805330
9,4.37331,1412102598,1474301822
10,4.47602,1412290077,1475280125
11,4.55875,1412379818,1477148207
12,4.86386,1412796738,1473854284
13,4.80366,1412504123,1472773007
14,4.42069,1412586368,1475380987
15,5.31834,1399499007,1470676326
16,5.35289,1413049602,1470184820
17,4.69487,1412260500,1475698183
18,4.83539,1412787369,1471900320
19,4.61509,1412474915,1475099602
20,5.27572,1400350569,1463623872
