Run,Time (s),L1 DCM,L2 DCM
1,2.79689,834434915,25349356
2,2.57518,851744409,23641243
3,2.62299,851873110,24719105
4,2.57518,851883072,23671183
5,2.61417,851752465,23858636
6,2.82583,851797903,26022407
7,2.49755,851799681,24446532
8,2.47195,851940993,23057804
9,2.68134,851502156,24638751
10,3.00442,852078053,25813860
11,2.94578,851981389,24690117
12,3.01,834277096,24537390
13,2.66329,851819824,24106699
14,2.5917,851739711,25235273
15,2.7017,851765913,25289836
16,2.53612,851787364,24585933
17,2.54583,851764088,23649056
18,2.74447,851496531,24526066
19,2.85833,834639267,25483919
20,2.85627,834678360,25087993
