Run,Time (s),L1 DCM,L2 DCM
1,0.191795,244788232,37771773
2,0.189123,244728987,37246952
3,0.187655,244783924,38071741
4,0.188739,244731522,37022637
5,0.187837,244729981,36948686
6,0.191687,244732592,37755520
7,0.187828,244753497,37237042
8,0.189712,244724116,38002403
9,0.18876,244742814,38692170
10,0.189198,244723864,37900409
11,0.19178,244728718,40665113
12,0.19025,244726891,38819464
13,0.196966,244759823,37324836
14,0.193305,244730437,38379127
15,0.189085,244770390,39108597
16,0.191436,244725747,39939102
17,0.189323,244722151,39132698
18,0.189566,244730526,37446623
19,0.189433,244724538,38513975
20,0.190202,244731575,37511885
