Run,Time (s),L1 DCM,L2 DCM
1,18.4461,9091916067,6323835892
2,18.9499,9091917123,7376367757
3,19.1297,9090443557,6644763110
4,18.8412,9092929849,7523380850
5,19.2324,9089163223,7690834205
6,18.7195,9084599469,8442365136
7,18.4325,9086911175,7587602736
8,18.4891,9092901881,8475961453
9,18.4103,9089721207,7439538401
10,18.512,9079748038,7926984283
11,18.4242,9090169192,7524014520
12,18.6705,9087075608,7704055838
13,18.6628,9090703967,7717678334
14,18.4341,9076524799,8394428131
15,18.2961,9079740114,7940669880
16,18.1316,9076777256,6890348213
17,18.4794,9089862400,7732063060
18,18.2994,9090057990,8469718947
19,18.2906,9092133474,7244504592
20,18.3623,9079607703,7987011311
