Run,Time (s),L1 DCM,L2 DCM
1,1.1318,1215389144,223440517
2,1.13104,1215340862,273537167
3,1.3593,1223730303,230386655
4,1.14417,1223735280,249170226
5,1.23465,1215330574,232049838
6,1.11169,1228058804,361729953
7,1.22846,1230266711,248940115
8,1.08187,1216636558,266281532
9,1.13087,1215299893,249425805
10,1.339,1235587200,283145790
11,1.2603,1240310998,287606747
12,1.04565,1229609042,270838870
13,1.09569,1223743750,281236709
14,1.22455,1230269050,244514430
15,1.18424,1228561899,257288458
16,1.28056,1240334645,268977393
17,1.18674,1228532496,271853513
18,1.17227,1228581876,268563101
19,1.06464,1229664341,308917800
20,1.0255,1228024059,264164062
